question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt,option_a,option_b,option_c,option_d,option_e,correct_option,explanation
MCQ_ETH_DEF__001,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,1,What is the definition of integrity?,"Avoid bias, conflict of interest, unde influence of others","Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",Straightforward and honest,Maintain skills and knowledge and act diligently when providing services,Comply with the law,C,
MCQ_ETH_DEF__002,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,2,What is the definition of objectivity,Straightforward and honest,Comply with the law,Maintain skills and knowledge and act diligently when providing services,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage","Avoid bias, conflict of interest, unde influence of others",E,"Avoid bias, conflict of interest, unde influence of others"
MCQ_ETH_DEF__003,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,3,What is the definition of professional competence and due care?,Maintain skills and knowledge and act diligently when providing services,"Avoid bias, conflict of interest, unde influence of others",Comply with the law,Straightforward and honest,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",A,Maintain skills and knowledge and act diligently when providing services
MCQ_ETH_DEF__004,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,4,What is the definition of confidentiality?,Straightforward and honest,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage","Avoid bias, conflict of interest, unde influence of others",Comply with the law,Maintain skills and knowledge and act diligently when providing services,B,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage"
MCQ_ETH_DEF__005,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,5,What is the definition of professional behaviour?,"Avoid bias, conflict of interest, unde influence of others",Maintain skills and knowledge and act diligently when providing services,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",Comply with the law,Straightforward and honest,D,Comply with the law
MCQ_ITNIC_REQ_EIS_001,Income tax & NIC,requirements,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_ITNIC_REQ_EIS,1,"For Enterprise Investment scheme (EIS) income tax relief, what is the maximum amount of qualifying subscriptions that can attract relief in a tax year, and at what rate (ignoring the ‘lower of’ liability cap)?","A. Up to £1,000,000 at 30%","B. Up to £200,000 at 30%","C. Up to £1,000,000 at 50%",D. Unlimited subscriptions at 30%,"E. Up to £200,000 at 50%",A,"Enterprise Investment scheme (EIS) income tax relief is a tax reducer on subscriptions up to £1,000,000 in a tax year at 30% (subject to being capped by the individual’s income tax liability). Distractors: B[same_family], C[threshold_swap], D[exception_as_rule], E[threshold_swap]."
MCQ_ITNIC_CALC_EIS_001,Income tax & NIC,calculations,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_ITNIC_CALC_EIS,1,An individual subscribed for qualifying Enterprise Investment scheme (EIS) shares and claimed EIS income tax relief at 30%. The shares are later sold at a loss. How is the amount of income tax relief withdrawn ?,A. No income tax relief is withdrawn if the shares are sold at a loss,B. Relief withdrawn equals cost × 30% (or original % relief if lower),"C. All income tax relief is withdrawn on any disposal, regardless of proceeds",D. Relief withdrawn equals proceeds × 30% (or original % relief if lower),E. Relief withdrawn equals gain × 30% (or original % relief if lower),D,"Where EIS shares are sold at a loss, your notes state the amount withdrawn is proceeds × 30% (or the original % relief if lower). Distractors: B[term_confusion], C[exception_as_rule], D[wrong_direction], E[term_confusion]."
MCQ_ITNIC_T_EIS_001,Income tax & NIC,treatments,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_ITNIC_T_EIS,1,Which statement correctly describes the CGT/dividend position for Venture Capital Trust (VCT) shares ?,A. VCT dividends are tax-free but gains are only exempt if shares are held for 5 years; losses are not allowable,B. VCT dividends are taxed normally and only gains on new issues are exempt; losses are allowable,C. VCT dividends are tax-free but gains are only exempt if shares are held for 3 years; losses are allowable,D. VCT dividends are taxed normally but gains are exempt with no minimum holding period; losses are allowable,E. VCT dividends are tax-free and gains on disposal (new issues or secondary purchases) are exempt; losses are not allowable,E,"Your notes: VCT dividend income is tax-free; gains on disposal of both secondary purchases and new issues are exempt from CGT; losses are not allowable; no minimum holding period is required for this CGT treatment. Distractors: B[same_family], C[threshold_swap], D[term_confusion], E[threshold_swap]."
MCQ_ITNIC_P_PSC_001,Income tax & NIC,planning,Personal service companies and IR35,mcq_radio,3,core,Y,psc;ir35;employment_status,notes,1,PSC,MCQ_ITNIC_P_PSC,1,Which is the key tax/NIC driver for using a personal service company (PSC) rather than being a normal employee?,A. More generous expense deduction rules and lower NIC rates can apply to self-employment,B. Corporation tax is always higher than income tax so PSCs increase tax,C. Dividends are taxed as employment income with Class 1 NIC,D. The client must always operate PAYE regardless of size,E. Employment allowance can be used to cover the PSC’s employer NIC,A,"A PSC structure is used because (as self-employed/through company) expenses can be more generous and NIC can be lower; profits may be taxed at corporation tax rates and extracted as dividends (no NIC). Distractors: B[wrong_direction], C[term_confusion], D[exception_as_rule], E[exception_as_rule]."
MCQ_ITNIC_T_PSC_001,Income tax & NIC,treatments,Personal service companies and IR35,mcq_radio,3,core,Y,ir35;small_entity;deemed_salary,notes,1,PSC,MCQ_ITNIC_T_PSC,1,"Where a PSC provides services to a small entity and IR35 applies , which statement is correct?",A. The individual remains taxed on dividends and pays no NIC if IR35 applies,B. A deemed salary is calculated and the individual is taxed on this (IT + NIC) rather than dividends,C. Employment allowance can be used to offset employer NIC on the deemed salary,D. Dividends are taxed twice: once as dividends and again as deemed salary,E. The client must issue an SDS with a 45-day challenge process,B,"For small entities : a deemed salary is calculated; IT and NIC are paid on the deemed salary, not dividends; employment allowance cannot be used; dividends form part of the deemed salary (so not taxed separately as dividends). Distractors: B[wrong_direction], C[exception_as_rule], D[exception_as_rule], E[same_family]."
MCQ_ITNIC_REQ_PSC_001,Income tax & NIC,requirements,Personal service companies and IR35,mcq_radio,3,core,Y,ir35;sds;ddp;medium_large_entity,notes,1,PSC,MCQ_ITNIC_REQ_PSC,1,"For services provided by a PSC to a medium or large entity , who determines whether IR35 applies and what document is issued?",A. The client determines status but no SDS is required,B. The PSC determines status and issues an SDS to the client,C. HMRC determines status and issues an SDS to both parties,D. The client determines status and issues a Status Determination Statement (SDS),E. The PSC determines status and issues a 45-day DDP notice,D,": for medium/large entities, the client determines whether IR35 applies and issues an SDS with reasons; the individual can challenge and the client must respond within 45 days. Distractors: B[term_confusion], C[exception_as_rule], D[exception_as_rule], E[term_confusion]."
MCQ_ITNIC_DEF_SHS_001,Income tax & NIC,definitions,Employee share schemes,mcq_radio,3,core,Y,saye;share_schemes,notes,1,SHS,MCQ_ITNIC_DEF_SHS,1,Which statement correctly describes Save As You Earn (SAYE) ?,"A. Employees save £5–£500 per month for 3 or 5 years; no IT/NIC on grant/exercise; at maturity they can take cash tax-free or buy shares, with CGT on sale","B. Selected employees are granted options up to £60,000 which must be exercised 3–10 years after grant",C. Save As You Earn (SAYE) must be offered only to full-time directors and key employees,D. Save As You Earn (SAYE) savings must be invested in employer shares throughout the term,E. Save As You Earn (SAYE) gives CGT-free disposal of shares if held 3 years,A,"SAYE involves fixed monthly savings (£5–£500) for 3 or 5 years; no IT/NIC on grant/exercise; on completion, cash can be taken with no IT/NIC or shares can be purchased; CGT applies on subsequent sale. Distractors: B[same_family], C[wrong_direction], D[term_confusion], E[exception_as_rule]."
MCQ_ITNIC_DEF_SHS_002,Income tax & NIC,definitions,Employee share schemes,mcq_radio,3,core,Y,csop;share_options,notes,1,SHS,MCQ_ITNIC_DEF_SHS,2,"For a Company Share Option Plan (CSOP), which rule is correct ?",A. Company Share Option Plan (CSOP) must be open to all employees on similar terms,B. Options may be exercised at any time provided the option price is below market value,C. Anyone who held over 30% of any company in the last 12 months can participate,"D. Maximum grant is £250,000 per employee",E. Options must be exercised between 3 and 10 years after grant,E,"Your notes: Company Share Option Plan (CSOP) options must be exercised between 3–10 years; shares must be fully paid ordinary; option price at grant must be at least MV; options not transferable; >30% close company holders in previous 12 months excluded; max options £60,000. Distractors: B[wrong_direction], C[exception_as_rule], D[same_family], E[same_family]."
MCQ_ITNIC_T_SHS_001,Income tax & NIC,treatments,Employee share schemes,mcq_radio,3,core,Y,emi;discount;nic,notes,1,SHS,MCQ_ITNIC_T_SHS,1,"Under Enterprise Management Incentive schemes (EMI), when can an income tax (and possibly NIC) charge arise at exercise ?",A. Only if the employee works fewer than 25 hours per week,"B. Always at exercise, because Enterprise Management Incentive schemes (EMI) options are taxed as employment income",C. If shares were issued at a discount to market value at grant and company is listed,D. Only if the company has gross assets above £30m at grant,E. Never at exercise; only CGT applies regardless of pricing,C,"Your notes: Enterprise Management Incentive schemes (EMI) has no IT/NIC at grant or exercise unless issued at a discount to MV at grant; then at exercise IT (and NIC if listed) is on the lower of discount vs MV at exercise and the price paid. Distractors: B[exception_as_rule], C[term_confusion], D[threshold_swap], E[wrong_direction]."
MCQ_ITNIC_REQ_EMI_001,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,1,"For Enterprise Management Incentive schemes (EMI) eligibility, what is the maximum gross assets limit for the company ?",A. Less than £30m,B. Less than £3m,C. Less than £60k,D. Less than £250k,E. No gross asset limit applies,A,", an EMI company can be listed but must have gross assets of less than £30m. Distractors: B[same_family], C[threshold_swap], D[threshold_swap], E[exception_as_rule]."
MCQ_ITNIC_REQ_EMI_002,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,2,Which statement about a company’s listing status for Enterprise Management Incentive schemes (EMI) is correct ?,A. The company must be unlisted to qualify for Enterprise Management Incentive schemes (EMI),"B. The company can be listed, provided other Enterprise Management Incentive schemes (EMI) conditions (including gross assets < £30m) are met","C. The company can only be AIM-listed, not fully listed",D. Listing automatically disqualifies Enterprise Management Incentive schemes (EMI) regardless of gross assets,E. Listing is allowed only if the company has fewer than 30 employees,B,"Your notes state the company can be listed, but must meet conditions including gross assets < £30m. Distractors: B[exception_as_rule], C[term_confusion], D[wrong_direction], E[threshold_swap]."
MCQ_ITNIC_REQ_EMI_003,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,3,"For Enterprise Management Incentive schemes (EMI) eligibility, which employee headcount condition applies to the company ?",A. No more than 75% of employees can be part-time,B. Fewer than 30 employees,C. Fewer than 250 employees,D. Exactly 250 employees or fewer,E. Fewer than 18 months average service,C,", the company must have less than 250 employees. Distractors: B[threshold_swap], C[term_confusion], D[threshold_swap], E[term_confusion]."
MCQ_ITNIC_REQ_EMI_004,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,4,Which UK presence requirement must the company meet for Enterprise Management Incentive schemes (EMI) ?,A. It must have a UK listing,B. It must be incorporated in the UK,C. It must have a UK resident board majority,D. It must have a permanent establishment in the UK,E. It must have at least 250 UK employees,D,"Your notes specify a permanent establishment in the UK. Distractors: B[term_confusion], C[exception_as_rule], D[term_confusion], E[threshold_swap]."
MCQ_ITNIC_REQ_EMI_005,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,5,Which control condition must be satisfied for an Enterprise Management Incentive schemes (EMI) company ?,A. The company must be a close company,B. The company must be a subsidiary of a listed parent,C. The company must be controlled by UK resident shareholders,D. The company must be controlled by employees participating in Enterprise Management Incentive schemes (EMI),E. The company must not be under the control of another company,E,", the company must not be under control of another company. Distractors: B[wrong_direction], C[exception_as_rule], D[exception_as_rule], E[term_confusion]."
MCQ_ITNIC_REQ_EMI_006,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;employee_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,6,Which working-time condition applies to employees for Enterprise Management Incentive schemes (EMI) eligibility ?,A. Any hours qualify provided the employee is full-time,"B. At least 18 hours per week, or if less, at least 50% of their working time",C. At least 30 hours per week with no percentage alternative,"D. At least 25 hours per month, or 75% of annual working time","E. At least 25 hours per week, or if less, at least 75% of their working time",E,"Your notes: employee must work at least 25 hours per week or, if less, at least 75% of their working time. Distractors: B[threshold_swap], C[exception_as_rule], D[term_confusion], E[exception_as_rule]."
MCQ_ITNIC_REQ_EMI_007,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;employee_rules,notes,1,EMI,MCQ_ITNIC_REQ_EMI,7,Which ownership condition excludes an employee from Enterprise Management Incentive schemes (EMI) ?,A. Being a director of the company,B. Owning more than 25% of the company’s ordinary shares,C. Owning any shares at all in the company,D. Owning more than 30% of the company’s ordinary shares,E. Owning more than 30% of preference shares only,D,", employees who own >30% of ordinary shares are excluded. Distractors: B[threshold_swap], C[exception_as_rule], D[term_confusion], E[term_confusion]."
MCQ_ITNIC_REQ_EMI_008,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;share_conditions,notes,1,EMI,MCQ_ITNIC_REQ_EMI,8,"For Enterprise Management Incentive schemes (EMI), what type of shares must the options relate to ?",A. Preference shares provided they are fully paid,B. Redeemable ordinary shares that may be forfeited if targets are missed,"C. Fully paid up, irredeemable ordinary shares with no restrictions on sale, forfeiture, or performance",D. Ordinary shares that can have performance restrictions,"E. Any shares in the group, including restricted shares",C,"Your notes require fully paid up irredeemable ordinary shares with no restrictions on sale, forfeiture, or performance. Distractors: B[wrong_direction], C[term_confusion], D[exception_as_rule], E[exception_as_rule]."
MCQ_ITNIC_REQ_EMI_009,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,EMI,MCQ_ITNIC_REQ_EMI,9,What is the maximum Enterprise Management Incentive schemes (EMI) value an individual employee can hold ?,"A. £60,000","B. £250,000","C. £200,000","D. £3,000,000","E. £30,000,000",B,", an employee can hold a maximum EMI of £250,000. Distractors: B[same_family], C[threshold_swap], D[same_family], E[same_family]."
MCQ_ITNIC_REQ_EMI_010,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,EMI,MCQ_ITNIC_REQ_EMI,10,What is the total maximum Enterprise Management Incentive schemes (EMI) that a company can grant ?,"A. £3,000,000","B. £250,000","C. £60,000","D. £30,000,000","E. Unlimited, provided each employee stays under £250,000",A,"Your notes state the company can grant up to £3m in total. Distractors: B[same_family], C[same_family], D[threshold_swap], E[exception_as_rule]."
MCQ_ITNIC_REQ_EMI_011,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,EMI,MCQ_ITNIC_REQ_EMI,11,"If the Enterprise Management Incentive schemes (EMI) limits are reached, what restriction applies next ?",A. Enterprise Management Incentive schemes (EMI) can still be granted but only to new employees,B. No more Enterprise Management Incentive schemes (EMI) can be granted for five years,C. No more Enterprise Management Incentive schemes (EMI) can be granted for three years,D. Enterprise Management Incentive schemes (EMI) can be granted only if the company becomes unlisted,"E. Enterprise Management Incentive schemes (EMI) can be granted only up to £60,000 per employee",C,": once at the limit, no more EMI can be granted for three years. Distractors: B[threshold_swap], C[exception_as_rule], D[term_confusion], E[same_family]."
MCQ_ITNIC_P_EMI_001,Income tax & NIC,planning,Employee share schemes,mcq_radio,3,core,Y,emi;limits;interaction,notes,1,EMI,MCQ_ITNIC_P_EMI,1,How do other option schemes interact with Enterprise Management Incentive schemes (EMI) limits ?,A. Only Share Incentive Plan (SIP) participation reduces the Enterprise Management Incentive schemes (EMI) limit,B. Save As You Earn (SAYE) reduces the Enterprise Management Incentive schemes (EMI) limit; Company Share Option Plan (CSOP) does not,C. Both Company Share Option Plan (CSOP) and Save As You Earn (SAYE) reduce the Enterprise Management Incentive schemes (EMI) limit,D. Neither Company Share Option Plan (CSOP) nor Save As You Earn (SAYE) affects the Enterprise Management Incentive schemes (EMI) limit,E. Company Share Option Plan (CSOP) options reduce the Enterprise Management Incentive schemes (EMI) limit; Save As You Earn (SAYE) does not,E,"Your notes: Company Share Option Plan (CSOP) options reduce the Enterprise Management Incentive schemes (EMI) limit, while Save As You Earn (SAYE) does not. Distractors: B[wrong_direction], C[exception_as_rule], D[exception_as_rule], E[term_confusion]."
MCQ_CGT_REQ_RESDOM_001,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,1,"Under an automatic overseas test, which day-count/condition combination is correct?",In the UK fewer than 16 days and UK resident in one or more of the previous three tax years,In the UK fewer than 30 days and UK resident in one or more of the previous three tax years,In the UK fewer than 46 days and UK resident in one or more of the previous five tax years,In the UK fewer than 90 days and not resident in any prior year,,A,One automatic overseas test is <16 UK days where the individual was UK resident in at least one of the previous three tax years.
MCQ_CGT_REQ_RESDOM_002,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,2,Which statement matches an automatic overseas test for someone with no recent UK residence history?,In the UK fewer than 16 days and not resident during previous three tax years,In the UK fewer than 46 days and not resident during previous three tax years,In the UK fewer than 60 days and not resident during previous two tax years,In the UK fewer than 90 days and not resident during previous three tax years,,B,A separate automatic overseas test uses the <46-day threshold when the person was not resident in the previous three tax years.
MCQ_CGT_REQ_RESDOM_003,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_uk,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,3,Which is an automatic UK test based on day count?,In the UK for 90 days or more,In the UK for 120 days or more,In the UK for 183 days or more,In the UK for 200 days or more,,C,The automatic UK day-count test is presence in the UK for 183 days or more in the tax year.
MCQ_CGT_REQ_RESDOM_004,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|ties,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,4,"For the accommodation tie in sufficient ties, which condition is required?",A UK house available for at least 30 days and used at least once,A UK house available for at least 91 days and used in the tax year,A UK house available for at least 120 days and used in prior year,A UK home owned for at least 91 days regardless of use,,B,The accommodation tie requires a UK house available for at least 91 days and actually used during the tax year.
MCQ_CGT_DEF_RESDOM_001,Capital gains,definitions,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,domicile|types,notes_user,1,RESDOM,MCQ_CGT_DEF_RESDOM,1,Which description correctly states domicile of dependency?,Inherited from father at birth,"After age 16, permanently settling overseas","While under 16, your domicile changes if your father’s changes",Automatically acquired after 15 years UK residence,,C,"Domicile of dependency applies while under 16; if the father’s domicile changes, the child’s changes too."
MCQ_CGT_REQ_RESDOM_005,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|fukdr,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,5,Which combination is required for the formerly UK domiciled resident deemed-domicile route?,"Born in UK, UK domicile of origin, and UK resident in relevant tax year",Born in UK and UK resident in any prior tax year,UK domicile of origin and resident for 10/20 years,Born in UK and resident for 15/20 years,,A,For the formerly UK domiciled resident route: born in UK + UK domicile of origin + UK resident in the relevant tax year.
MCQ_CGT_REQ_RESDOM_006,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|long_term,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,6,"For long-term resident deemed domicile, what residence history is required?",UK resident at least 10 out of previous 20 tax years,UK resident at least 12 out of previous 20 tax years,UK resident at least 15 out of previous 20 tax years,UK resident at least 17 out of previous 20 tax years,,C,Long-term resident deemed domicile uses the 15-out-of-20 tax years test (plus the April 2017 condition in your notes).
MCQ_CGT_REQ_RESDOM_007,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|april2017,notes_user,1,RESDOM,MCQ_CGT_REQ_RESDOM,7,Which additional condition applies to the long-term resident deemed domicile route?,Must have been UK resident at least once before April 2015,Must have been UK resident in a tax year from April 2017,Must have been UK resident continuously since April 2017,Must be UK resident in every year after April 2017,,B,Your notes add that the individual must have been resident in a tax year from April 2017.
MCQ_CGT_P_SPLITYR_001,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|overview,notes_user,1,SPLITYR,MCQ_CGT_P_SPLITYR,1,Split-year treatment allows a tax year to be divided into which two parts for an eligible UK resident?,UK part taxable and overseas part not taxable,UK part not taxable and overseas part taxable,Only employment income taxable in both parts,Both parts fully taxable in UK,,A,Your notes state the year can be split into a UK part (taxable) and an overseas part (not taxable).
MCQ_CGT_P_SPLITYR_002,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving,notes_user,1,SPLITYR,MCQ_CGT_P_SPLITYR,2,Which is one of the listed leaving-UK split-year scenarios?,Moving overseas to retire with no other conditions,Leaving UK to begin full-time work overseas,Leaving UK for part-time overseas work only,Leaving UK for a temporary holiday abroad,,B,A listed leaving case is departure to begin full-time work overseas.
MCQ_CGT_P_SPLITYR_003,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving_spouse,notes_user,1,SPLITYR,MCQ_CGT_P_SPLITYR,3,Which spouse-related event can support leaving-UK split-year treatment ?,Accompanying spouse to begin full-time work overseas,Accompanying spouse on short-term study overseas,Accompanying spouse on UK secondment,Accompanying spouse while remaining UK-home based,,A,Your notes include accompanying a spouse who starts full-time work overseas.
MCQ_CGT_P_SPLITYR_004,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving_ties,notes_user,1,SPLITYR,MCQ_CGT_P_SPLITYR,4,Which of these describes the “to live abroad” leaving case?,"Keep UK house, spend substantial UK time, no overseas ties","Sell UK house, keep significant UK time, no foreign ties","Sell UK house, minimal UK time, establish ties with another country",Retain UK house and increase UK workdays,,C,"The notes specify living abroad with sale of UK house, minimal UK time, and ties with another country."
MCQ_CGT_REQ_SPLITYR_001,Capital gains,requirements,Split-year treatment,mcq_radio,3,core,Y,split_year|coming_home,notes_user,1,SPLITYR,MCQ_CGT_REQ_SPLITYR,1,Which coming-to-UK scenario is listed for split-year treatment?,Acquires UK home and had sufficient ties before acquiring it,Acquires UK home and did not have sufficient ties to be UK resident before acquiring it,Acquires UK home and automatically becomes UK resident from prior year,Acquires UK home while remaining fully overseas resident indefinitely,,B,One listed case is acquiring a UK home with no sufficient UK-residence ties beforehand.
MCQ_CGT_REQ_SPLITYR_002,Capital gains,requirements,Split-year treatment,mcq_radio,3,core,Y,split_year|coming_work,notes_user,1,SPLITYR,MCQ_CGT_REQ_SPLITYR,2,"For a coming-to-UK work case, what duration of work is required?",Full-time work in UK for at least 6 months,Full-time work in UK for at least 9 months,Full-time work in UK for at least 1 year,Any UK work with no minimum duration,,C,"The notes specify full-time work in the UK for at least a year, with no sufficient ties before."
MCQ_CGT_P_SPLITYR_005,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|returning,notes_user,1,SPLITYR,MCQ_CGT_P_SPLITYR,5,Which of these describes a returning-to-UK split-year scenario?,Returns after holiday abroad regardless of work history,Returns following period where they (or spouse) worked full-time overseas,Returns after UK part-time employment,Returns only if UK home was never acquired,,B,A listed coming case is return after a period of full-time overseas work by the individual or spouse.
MCQ_IHT_REQ_DOMICILE_001,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|deemed_domicile|overview,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,1,"For IHT purposes at the time of transfer, deemed domicile can arise if how many alternative conditions are met?",Any one of two conditions,Any one of three conditions,Any two of three conditions,All three conditions,,B,"The IHT rule is triggered if any one of three conditions is satisfied.
1. Formerly UK resident (born, origin, resident, 1/2 previous)
2. Long term resident (15/20, resident 1/4 previous)
3. Domiciled in last three years (choice)"
MCQ_IHT_REQ_DOMICILE_002,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|three_year,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,2,CGT and IHT both have routes for formerly UK domiciled and long term residents. What additional deemed domicile test exists for IHT?,UK domiciled at any point in last 5 years,UK resident in any of last 3 years,Domiciled in UK within 3 years immediately preceding that time,Born in UK and resident currently,,C,Condition 1 is UK domicile within the 3 years immediately before the transfer time.
MCQ_IHT_REQ_DOMICILE_003,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|fukdi,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,3,"Under the formerly UK domiciled individual route for IHT, which extra residence condition appears (beyond being UK resident in relevant year)?",UK resident in at least 1 of the 2 tax years immediately before the relevant year,UK resident in at least 2 of the 4 tax years ending with relevant year,UK resident in at least 15 of previous 20 years,Not resident in previous 3 years,,A,The formerly UK domiciled route includes residence in at least 1 of the 2 immediately preceding tax years.
MCQ_IHT_REQ_DOMICILE_004,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|residence_15_20,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,4,"For the UK-resident route to IHT deemed domicile, what long-term residence threshold applies?",At least 12 of previous 15 tax years,At least 15 of previous 20 tax years,At least 10 of previous 20 tax years,At least 17 of previous 20 tax years,,B,The long-term limb is residence for at least 15 of the 20 tax years immediately preceding the relevant tax year.
MCQ_IHT_REQ_DOMICILE_005,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|residence_1of4,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,5,Which additional residence test must also be met under the UK-resident IHT route?,Resident in at least 1 of the 2 immediately preceding years,Resident in at least 2 of the 4 ending with relevant year,Resident in at least 1 of the 4 tax years ending with the relevant year,Resident in all 4 ending years,,C,The second limb is residence in at least 1 of the 4 tax years ending with the relevant tax year.
MCQ_IHT_REQ_DOMICILE_006,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|comparison,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,6,"Jon, a UK resident domiciled/deemed domiciled wants to use his spousal exemption to transfer assets to his wife, who is non-UK deemed domiciled. Assuming they make no elections, what is the restriction on Jon's spousal exemption?",325000,Jon's available nil rate band at the time of transfer,40% of the value of the asset,40% of the value of the asset less double taxation relief,,B,"If Jon has not used any of his NRB, then it will be £325000"
MCQ_IHT_REQ_DOMICILE_007,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|fukdi|elements,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,7,Which set correctly matches the formerly UK domiciled individual conditions for IHT?,"Born in UK, UK domicile of origin, UK resident in relevant year, and resident in at least 1 of previous 2 tax years","Born in UK, foreign domicile of origin, resident in relevant year, and resident in previous 4 years","Not born in UK, UK domicile of choice, resident in relevant year, and 15/20 residence",Born in UK only,,A,All listed elements are required under that route in your note.
MCQ_IHT_REQ_DOMICILE_008,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|trigger_time,image_notes,1,DOMICILE,MCQ_IHT_REQ_DOMICILE,8,At what point is IHT deemed domicile tested?,At end of tax year only,At date of disposal for CGT,At the time the transfer is made,At 5 April before transfer,,C,The note states deemed domicile for IHT is tested at the time the transfer is made.
